rFactor	fee
380000000000000000	1504171036722724
381000000000000000	1504173148893477
382000000000000000	1504175275018631
383000000000000000	1504177415221341
384000000000000000	1504179569626120
385000000000000000	1504181738358864
386000000000000000	1504183921546864
387000000000000000	1504186119318828
388000000000000000	1504188331804900
389000000000000000	1504190559136678
390000000000000000	1504192801447232
391000000000000000	1504195058871130
392000000000000000	1504197331544450
393000000000000000	1504199619604807
394000000000000000	1504201923191371
395000000000000000	1504204242444887
396000000000000000	1504206577507698
397000000000000000	1504208928523770
398000000000000000	1504211295638706
399000000000000000	1504213678999778
400000000000000000	1504216078755941
401000000000000000	1504218495057864
402000000000000000	1504220928057948
403000000000000000	1504223377910354
404000000000000000	1504225844771023
405000000000000000	1504228328797705
406000000000000000	1504230830149982
407000000000000000	1504233348989294
408000000000000000	1504235885478967
409000000000000000	1504238439784233
410000000000000000	1504241012072267
411000000000000000	1504243602512203
412000000000000000	1504246211275173
413000000000000000	1504248838534325
414000000000000000	1504251484464859
415000000000000000	1504254149244053
416000000000000000	1504256833051294
417000000000000000	1504259536068105
418000000000000000	1504262258478180
419000000000000000	1504265000467412
420000000000000000	1504267762223928
421000000000000000	1504270543938116
422000000000000000	1504273345802662
423000000000000000	1504276168012584
424000000000000000	1504279010765261
425000000000000000	1504281874260472
426000000000000000	1504284758700431
427000000000000000	1504287664289817
428000000000000000	1504290591235819
429000000000000000	1504293539748165
430000000000000000	1504296510039165
431000000000000000	1504299502323746
432000000000000000	1504302516819491
433000000000000000	1504305553746680
434000000000000000	1504308613328330
435000000000000000	1504311695790236
436000000000000000	1504314801361009
437000000000000000	1504317930272123
438000000000000000	1504321082757957
439000000000000000	1504324259055838
440000000000000000	1504327459406084
441000000000000000	1504330684052052
442000000000000000	1504333933240184
443000000000000000	1504337207220053
444000000000000000	1504340506244411
445000000000000000	1504343830569236
446000000000000000	1504347180453787
447000000000000000	1504350556160649
448000000000000000	1504353957955784
449000000000000000	1504357386108590
450000000000000000	1504360840891946
451000000000000000	1504364322582271
452000000000000000	1504367831459580
453000000000000000	1504371367807537
454000000000000000	1504374931913511
455000000000000000	1504378524068642
456000000000000000	1504382144567892
457000000000000000	1504385793710109
458000000000000000	1504389471798087
459000000000000000	1504393179138634
460000000000000000	1504396916042627
461000000000000000	1504400682825085
462000000000000000	1504404479805230
463000000000000000	1504408307306559
464000000000000000	1504412165656909
465000000000000000	1504416055188527
466000000000000000	1504419976238145
467000000000000000	1504423929147051
468000000000000000	1504427914261159
469000000000000000	1504431931931093
470000000000000000	1504435982512257
471000000000000000	1504440066364914
472000000000000000	1504444183854270
473000000000000000	1504448335350553
474000000000000000	1504452521229094
475000000000000000	1504456741870417
476000000000000000	1504460997660319
477000000000000000	1504465288989962
478000000000000000	1504469616255964
479000000000000000	1504473979860485
480000000000000000	1504478380211325
481000000000000000	1504482817722019
482000000000000000	1504487292811930
483000000000000000	1504491805906351
484000000000000000	1504496357436606
485000000000000000	1504500947840153
486000000000000000	1504505577560686
487000000000000000	1504510247048244
488000000000000000	1504514956759322
489000000000000000	1504519707156978
490000000000000000	1504524498710951
491000000000000000	1504529331897775
492000000000000000	1504534207200894
493000000000000000	1504539125110790
494000000000000000	1504544086125099
495000000000000000	1504549090748740
496000000000000000	1504554139494042
497000000000000000	1504559232880877
498000000000000000	1504564371436791
499000000000000000	1504569555697141
500000000000000000	1504574786205234
501000000000000000	1504580063512472
502000000000000000	1504585388178491
503000000000000000	1504590760771313
504000000000000000	1504596181867499
505000000000000000	1504601652052298
506000000000000000	1504607171919808
507000000000000000	1504612742073138
508000000000000000	1504618363124569
509000000000000000	1504624035695724
510000000000000000	1504629760417738
511000000000000000	1504635537931437
512000000000000000	1504641368887510
513000000000000000	1504647253946699
514000000000000000	1504653193779980
515000000000000000	1504659189068759
516000000000000000	1504665240505061
517000000000000000	1504671348791735
518000000000000000	1504677514642653
519000000000000000	1504683738782921
520000000000000000	1504690021949090
521000000000000000	1504696364889374
522000000000000000	1504702768363873
523000000000000000	1504709233144797
524000000000000000	1504715760016704
525000000000000000	1504722349776729
526000000000000000	1504729003234835
527000000000000000	1504735721214056
528000000000000000	1504742504550754
529000000000000000	1504749354094876
530000000000000000	1504756270710221
531000000000000000	1504763255274711
532000000000000000	1504770308680668
533000000000000000	1504777431835102
534000000000000000	1504784625659997
535000000000000000	1504791891092610
536000000000000000	1504799229085776
537000000000000000	1504806640608221
538000000000000000	1504814126644878
539000000000000000	1504821688197214
