block	shorEMA	longEMA	rFactor	fee
6080	1000000000000000000	1000000000000000000	324291935417726597	1504072195271844
6100	1000000000000000000	1000000000000000000	323093075632607649	1504070414756119
6120	1000000000000000000	1000000000000000000	321898647856513294	1504068653183043
6140	1000000000000000000	1000000000000000000	320708635704955346	1504066910277884
6160	1000000000000000000	1000000000000000000	319523022854016664	1504065185770982
6180	1000000000000000000	1000000000000000000	318341793040127235	1504063479397638
6200	1000000000000000000	1000000000000000000	317164930059841088	1504061790897998
6220	1000000000000000000	1000000000000000000	315992417769614019	1504060120016954
6240	1000000000000000000	1000000000000000000	314824240085582135	1504058466504029
6260	1000000000000000000	1000000000000000000	313660380983341241	1504056830113284
6280	1000000000000000000	1000000000000000000	312500824497727010	1504055210603214
6300	1000000000000000000	1000000000000000000	311345554722595994	1504053607736652
6320	1000000000000000000	1000000000000000000	310194555810607421	1504052021280674
6340	1000000000000000000	1000000000000000000	309047811973005823	1504050451006510
6360	1000000000000000000	1000000000000000000	307905307479404451	1504048896689450
6380	1000000000000000000	1000000000000000000	306767026657569477	1504047358108761
6400	1000000000000000000	1000000000000000000	305632953893205048	1504045835047599
6420	1000000000000000000	1000000000000000000	304503073629739055	1504044327292926
6440	1000000000000000000	1000000000000000000	303377370368109769	1504042834635430
6460	1000000000000000000	1000000000000000000	302255828666553218	1504041356869448
6480	1000000000000000000	1000000000000000000	301138433140391371	1504039893792884
6500	1000000000000000000	1000000000000000000	300025168461821101	1504038445207139
6520	1000000000000000000	1000000000000000000	298916019359703914	1504037010917036
6540	1000000000000000000	1000000000000000000	297810970619356493	1504035590730746
6560	1000000000000000000	1000000000000000000	296710007082341962	1504034184459723
6580	1000000000000000000	1000000000000000000	295613113646261976	1504032791918633
6600	1000000000000000000	1000000000000000000	294520275264549544	1504031412925287
6620	1000000000000000000	1000000000000000000	293431476946262621	1504030047300581
6640	1000000000000000000	1000000000000000000	292346703755878490	1504028694868425
6660	1000000000000000000	1000000000000000000	291265940813088865	1504027355455689
6680	1000000000000000000	1000000000000000000	290189173292595782	1504026028892140
6700	1000000000000000000	1000000000000000000	289116386423908234	1504024715010380
6720	1000000000000000000	1000000000000000000	288047565491139561	1504023413645793
6740	1000000000000000000	1000000000000000000	286982695832805566	1504022124636490
6760	1000000000000000000	1000000000000000000	285921762841623424	1504020847823249
6780	1000000000000000000	1000000000000000000	284864751964311293	1504019583049465
6800	1000000000000000000	1000000000000000000	283811648701388679	1504018330161099
6820	1000000000000000000	1000000000000000000	282762438606977547	1504017089006624
6840	1000000000000000000	1000000000000000000	281717107288604158	1504015859436977
6860	1000000000000000000	1000000000000000000	280675640407001626	1504014641305512
6880	1000000000000000000	1000000000000000000	279638023675913263	1504013434467948
6900	1000000000000000000	1000000000000000000	278604242861896546	1504012238782328
6920	1000000000000000000	1000000000000000000	277574283784127930	1504011054108970
6940	1000000000000000000	1000000000000000000	276548132314208288	1504009880310423
6960	1000000000000000000	1000000000000000000	275525774375969114	1504008717251428
6980	1000000000000000000	1000000000000000000	274507195945279438	1504007564798868
7000	1000000000000000000	1000000000000000000	273492383049853440	1504006422821734
7020	1000000000000000000	1000000000000000000	272481321769058811	1504005291191081
7040	1000000000000000000	1000000000000000000	271473998233725760	1504004169779990
7060	1000000000000000000	1000000000000000000	270470398625956803	1504003058463526
7080	1000000000000000000	1000000000000000000	269470509178937185	1504001957118706
7100	1000000000000000000	1000000000000000000	268474316176746064	1504000865624458
7120	1000000000000000000	1000000000000000000	267481805954168337	1503999783861586
7140	1000000000000000000	1000000000000000000	266492964896507192	1503998711712734
7160	1000000000000000000	1000000000000000000	265507779439397380	1503997649062353
7180	1000000000000000000	1000000000000000000	264526236068619109	1503996595796667
7200	1000000000000000000	1000000000000000000	263548321319912673	1503995551803638
7220	1000000000000000000	1000000000000000000	262574021778793777	1503994516972937
7240	1000000000000000000	1000000000000000000	261603324080369492	1503993491195909
7260	1000000000000000000	1000000000000000000	260636214909154963	1503992474365545
7280	1000000000000000000	1000000000000000000	259672680998890704	1503991466376450
7300	1000000000000000000	1000000000000000000	258712709132360673	1503990467124814
7320	1000000000000000000	1000000000000000000	257756286141210921	1503989476508383
7340	1000000000000000000	1000000000000000000	256803398905768993	1503988494426432
7360	1000000000000000000	1000000000000000000	255854034354863922	1503987520779734
7380	1000000000000000000	1000000000000000000	254908179465646958	1503986555470536
7400	1000000000000000000	1000000000000000000	253965821263412911	1503985598402533
7420	1000000000000000000	1000000000000000000	253026946821422178	1503984649480836
7440	1000000000000000000	1000000000000000000	252091543260723418	1503983708611956
7460	1000000000000000000	1000000000000000000	251159597749976887	1503982775703770
7480	1000000000000000000	1000000000000000000	250231097505278414	1503981850665504
7500	1000000000000000000	1000000000000000000	249306029789984070	1503980933407704
7520	1000000000000000000	1000000000000000000	248384381914535419	1503980023842213
7540	1000000000000000000	1000000000000000000	247466141236285472	1503979121882154
7560	1000000000000000000	1000000000000000000	246551295159325234	1503978227441898
7580	1000000000000000000	1000000000000000000	245639831134310967	1503977340437050
7600	1000000000000000000	1000000000000000000	244731736658292010	1503976460784425
7620	1000000000000000000	1000000000000000000	243826999274539266	1503975588402026
7640	1000000000000000000	1000000000000000000	242925606572374356	1503974723209023
7660	1000000000000000000	1000000000000000000	242027546186999360	1503973865125736
7680	1000000000000000000	1000000000000000000	241132805799327194	1503973014073609
7700	1000000000000000000	1000000000000000000	240241373135812653	1503972169975200
7720	1000000000000000000	1000000000000000000	239353235968284008	1503971332754152
7740	1000000000000000000	1000000000000000000	238468382113775309	1503970502335182
7760	1000000000000000000	1000000000000000000	237586799434359230	1503969678644057
7780	1000000000000000000	1000000000000000000	236708475836980607	1503968861607581
7800	1000000000000000000	1000000000000000000	235833399273290500	1503968051153574
7820	1000000000000000000	1000000000000000000	234961557739480982	1503967247210857
7840	1000000000000000000	1000000000000000000	234092939276120420	1503966449709233
7860	1000000000000000000	1000000000000000000	233227531967989467	1503965658579473
7880	1000000000000000000	1000000000000000000	232365323943917574	1503964873753299
7900	1000000000000000000	1000000000000000000	231506303376620201	1503964095163366
7920	1000000000000000000	1000000000000000000	230650458482536515	1503963322743248
7940	1000000000000000000	1000000000000000000	229797777521667803	1503962556427425
7960	1000000000000000000	1000000000000000000	228948248797416401	1503961796151265
7980	1000000000000000000	1000000000000000000	228101860656425255	1503961041851009
8000	1000000000000000000	1000000000000000000	227258601488418058	1503960293463760
8020	1000000000000000000	1000000000000000000	226418459726040012	1503959550927465
8040	1000000000000000000	1000000000000000000	225581423844699107	1503958814180903
8060	1000000000000000000	1000000000000000000	224747482362408085	1503958083163674
8080	1000000000000000000	1000000000000000000	223916623839626912	1503957357816179
8100	1000000000000000000	1000000000000000000	223088836879105838	1503956638079615
8120	1000000000000000000	1000000000000000000	222264110125729097	1503955923895956
8140	1000000000000000000	1000000000000000000	221442432266359116	1503955215207943
8160	1000000000000000000	1000000000000000000	220623792029681331	1503954511959072
8180	1000000000000000000	1000000000000000000	219808178186049575	1503953814093579
8200	1000000000000000000	1000000000000000000	218995579547332048	1503953121556435
8220	1000000000000000000	1000000000000000000	218185984966757839	1503952434293325
8240	1000000000000000000	1000000000000000000	217379383338763994	1503951752250644
8260	1000000000000000000	1000000000000000000	216575763598843211	1503951075375482
8280	1000000000000000000	1000000000000000000	215775114723392053	1503950403615616
8300	1000000000000000000	1000000000000000000	214977425729559735	1503949736919495
8320	1000000000000000000	1000000000000000000	214182685675097447	1503949075236233
8340	1000000000000000000	1000000000000000000	213390883658208280	1503948418515596
8360	1000000000000000000	1000000000000000000	212602008817397674	1503947766707997
8380	1000000000000000000	1000000000000000000	211816050331324418	1503947119764477
8400	1000000000000000000	1000000000000000000	211032997418652214	1503946477636703
8420	1000000000000000000	1000000000000000000	210252839337901792	1503945840276957
8440	1000000000000000000	1000000000000000000	209475565387303549	1503945207638122
8460	1000000000000000000	1000000000000000000	208701164904650770	1503944579673678
8480	1000000000000000000	1000000000000000000	207929627267153337	1503943956337689
8500	1000000000000000000	1000000000000000000	207160941891292034	1503943337584798
